;RaAv-1001;RaAv-1016;RaAv-1040;RaAv-1301;RaAv-1200;RaAv-1550;RaAv-1101;RaAv-1884;RaAv-1625;RaAv-1472;RaAv-1666;RaAv-1097;RaAv-1555;RaAv-1168;RaAv-1428;RaAv-1147;RaAv-1852;RaAv-1693;RaAv-1426;RaAv-1153;RaAv-1357;RaAv-1759;RaAv-1456;RaAv-1041;RaAv-1842;RaAv-1835;RaAv-1766;RaAv-1844;RaAv-1151;RaAv-1465
14;8480;9919;9349;6099;10918;8074;9554;11632;7734;9518;10385;11028;7200;6262;8657;8224;10529;8331;11355;6531;7418;11954;8032;6164;9426;10488;10246;9370;10098;9838
15;9923;10317;7265;6980;11949;9684;10445;6101;8259;6309;7316;11077;6151;11598;11587;9617;7141;7105;9125;8185;10243;6643;8850;8960;6014;9423;6409;11802;9481;12110
16;11307;7388;7085;8733;7687;9830;10414;6222;8889;10039;11839;8973;7223;8938;6928;11657;11013;8840;8809;11684;8881;7954;6461;10265;9663;9776;7341;8043;10395;11754
17;6277;9780;7668;10342;9876;7064;6281;9618;9469;9966;10704;9122;10212;12080;8028;6485;9314;7872;6512;6363;8086;11826;9848;10973;7060;7174;10535;11985;6350;8042
18;7601;8881;9467;10748;6572;8130;6280;7110;10126;9056;9638;7419;7506;11727;6486;11478;7553;10152;8346;10651;6433;9295;6748;12111;7455;7505;10759;11064;9184;9318
19;10517;9687;7192;9164;7276;9752;10382;9014;6153;6349;7778;7374;8539;10100;6504;11444;10349;10016;8947;8419;7801;11125;10309;11651;11726;7514;11273;8229;8761;7518
20;6469;6838;9197;9341;8822;10487;9046;7923;12023;11367;10981;11671;10050;7448;7604;10848;11450;6241;11636;6662;7490;11704;9991;11329;10692;7200;10758;8450;9044;6977
21;7212;8024;9176;10965;11973;7634;6088;9563;8567;9501;6075;12004;9986;6315;10022;10321;8713;10270;12005;8063;10632;10064;7808;7066;9951;9766;8999;7012;6789;6515
22;8498;11252;7203;11936;11302;7559;7273;7995;7860;6020;8153;8263;9023;11506;6279;10447;10196;7469;9045;6060;11548;12081;8360;9311;8633;7660;11396;7109;7061;9265
23;10802;10172;6656;11025;11252;11976;8150;11412;10836;7714;11892;6576;8149;9884;6388;6376;11571;8513;6919;11018;10148;11475;6315;6351;7095;10246;6089;8511;12019;11123
24;11896;11832;8100;10247;8254;11702;8625;11893;8530;10761;8515;7137;9119;6721;7120;6035;10888;11258;9664;10108;8665;9553;10627;10078;11977;6713;8313;9100;9395;7446
25;8548;8073;10609;11146;7086;8618;6271;8578;11195;8469;6447;9722;9131;8913;11450;7822;7953;11250;8842;7124;10408;8752;7294;9586;6484;8889;11250;8516;7406;6972
26;7684;9619;8614;6067;8437;8250;10142;10778;6187;10847;8214;8366;6483;8671;9103;10344;10259;8039;9269;8091;9834;11428;10620;8573;6350;9220;10030;8690;9858;10095
27;9476;6015;8985;7304;11969;6759;12025;9532;9673;9624;10922;7971;9660;11104;10314;7236;7308;10182;9857;9955;11240;6798;11389;8821;8323;7193;6149;6914;11292;7260
28;6321;8132;10232;6758;7539;6532;7945;10942;7592;9309;10280;7434;11188;9860;11656;11439;6291;9283;9282;7766;11878;11107;8817;11734;8784;6900;7903;10175;9916;7139
29;8356;8176;8589;11771;10840;6446;9967;11490;9054;6796;10995;7035;9679;7025;11113;9090;8087;11824;10429;10323;11814;7162;7153;9038;10686;6988;7301;9942;10383;9268
30;9122;9293;11099;8993;7153;10392;12037;9989;12072;10513;7128;9604;6629;6278;7068;9833;10765;6063;8367;7984;8123;7922;9787;10896;6532;10059;7430;7074;8390;6141
31;11689;6026;9274;7879;11452;9451;7067;10093;6130;7310;6486;9726;9389;7867;11272;6897;7917;11737;6156;11068;6886;8358;9154;10653;7352;8117;8228;6031;9704;9868
;618550;218335;877398;735302;1463753;1102065;627759;1166229;771771;170055;668237;1091787;420766;621465;771765;1023469;352264;980210;593559;1146757;1384423;951829;945297;393815;860614;1482269;589319;437809;371876;1287323
